timestamp,jetson_vdd_cpu_gpu_cv_mw,jetson_gpu_usage_percent,jetson_board_temperature_celsius,jetson_vdd_in_mw,jetson_cpu_usage_percent,jetson_ram_usage_mb,ground_truth
2025-01-13 20:20:08,1232,63,40.90583333333333,5811,28.83333333333333,7221,0
2025-01-13 20:20:09,1232,55,40.96333333333334,5811,28.83333333333333,7221,0
2025-01-13 20:20:10,1232,46,40.984,5811,30.166666666666668,7221,0
2025-01-13 20:20:11,1271,50,40.99466666666667,5811,30.166666666666668,7221,0
2025-01-13 20:20:12,1271,46,41.01533333333333,5851,29.5,7222,0
2025-01-13 20:20:13,1232,66,40.9425,5811,28.5,7222,0
2025-01-13 20:20:14,1232,65,40.92133333333334,5811,27.666666666666668,7222,0
2025-01-13 20:20:15,1271,67,40.9945,5851,23.0,7222,0
2025-01-13 20:20:16,1232,58,41.01533333333334,5811,29.0,7222,0
2025-01-13 20:20:17,1232,49,40.88483333333334,5811,27.83333333333333,7222,0
2025-01-13 20:20:18,1232,51,40.94766666666667,5811,28.5,7222,0
2025-01-13 20:20:19,1232,62,41.031000000000006,5811,28.83333333333333,7222,0
2025-01-13 20:20:20,1232,59,41.01,5811,30.0,7222,0
2025-01-13 20:20:21,1232,42,40.93183333333334,5811,28.33333333333333,7222,0
2025-01-13 20:20:22,1232,45,40.906,5811,28.0,7222,0
2025-01-13 20:20:23,1232,38,41.03083333333333,5811,29.33333333333333,7222,0
2025-01-13 20:20:24,1232,35,41.03616666666667,5811,27.83333333333333,7222,0
2025-01-13 20:20:25,1232,63,40.97366666666667,5811,29.83333333333333,7222,0
2025-01-13 20:20:26,1232,58,40.9475,5811,28.166666666666668,7222,0
2025-01-13 20:20:27,1232,65,41.04116666666667,5811,27.83333333333333,7222,0
2025-01-13 20:20:28,1232,63,41.00983333333334,5811,29.0,7222,0
2025-01-13 20:20:29,1232,49,40.97383333333334,5811,28.666666666666668,7222,0
2025-01-13 20:20:30,1271,56,40.999833333333335,5851,25.83333333333333,7222,0
2025-01-13 20:20:31,1232,44,41.01016666666667,5811,25.0,7222,0
2025-01-13 20:20:32,1232,41,40.984,5811,28.666666666666668,7222,0
2025-01-13 20:20:33,1232,39,40.98400000000001,5811,25.666666666666668,7222,0
2025-01-13 20:20:34,1232,53,40.9475,5811,28.666666666666668,7222,0
2025-01-13 20:20:35,1232,58,41.0465,5811,28.83333333333333,7222,0
2025-01-13 20:20:36,1232,53,41.057,5811,29.666666666666668,7223,0
2025-01-13 20:20:37,1232,51,41.02033333333333,5811,29.33333333333333,7223,0
2025-01-13 20:20:38,1232,63,40.98916666666667,5811,29.666666666666668,7223,0
2025-01-13 20:20:39,1232,52,41.062000000000005,5811,28.5,7223,0
2025-01-13 20:20:40,1232,53,41.11933333333334,5811,28.666666666666668,7223,0
2025-01-13 20:20:41,1232,64,40.963,5811,28.666666666666668,7223,0
2025-01-13 20:20:42,1232,36,41.00466666666667,5811,28.83333333333333,7223,0
2025-01-13 20:20:43,1232,36,40.96866666666667,5811,28.5,7223,0
2025-01-13 20:20:44,1232,63,40.96833333333333,5811,27.666666666666668,7223,0
2025-01-13 20:20:45,1271,65,41.00466666666667,5851,24.83333333333333,7223,0
2025-01-13 20:20:46,1232,58,41.01533333333333,5811,25.33333333333333,7223,0
2025-01-13 20:20:47,1232,61,40.99966666666666,5811,29.33333333333333,7223,0
2025-01-13 20:20:48,1232,53,40.93216666666667,5811,29.5,7223,0
2025-01-13 20:20:49,1351,47,41.00483333333333,5971,33.333333333333336,7219,0
2025-01-13 20:20:50,1271,46,41.03633333333333,5851,29.5,7217,0
2025-01-13 20:20:51,1271,48,41.036,5811,29.666666666666668,7218,0
2025-01-13 20:20:52,1232,51,41.010333333333335,5811,29.666666666666668,7218,0
2025-01-13 20:20:53,1232,64,40.98916666666667,5811,28.33333333333333,7218,0
2025-01-13 20:20:54,1232,64,41.062333333333335,5811,28.666666666666668,7219,0
2025-01-13 20:20:55,1232,38,40.97883333333333,5851,29.166666666666668,7219,0
2025-01-13 20:20:56,1232,38,40.98916666666667,5811,29.5,7219,0
2025-01-13 20:20:57,1232,53,40.999500000000005,5811,28.33333333333333,7219,0
2025-01-13 20:20:58,1232,39,41.04633333333334,5811,27.83333333333333,7219,0
2025-01-13 20:20:59,1271,65,41.02033333333333,5851,29.5,7219,0
2025-01-13 20:21:00,1232,60,40.952666666666666,5811,26.5,7219,0
2025-01-13 20:21:01,1271,55,41.05183333333333,5851,23.5,7219,0
2025-01-13 20:21:02,1232,34,41.04616666666667,5811,26.666666666666668,7219,0
2025-01-13 20:21:03,1232,62,41.01,5811,28.5,7219,0
2025-01-13 20:21:04,1232,66,40.989333333333335,5811,29.0,7219,0
2025-01-13 20:21:05,1232,55,41.01,5811,28.5,7219,0
2025-01-13 20:21:06,1232,49,40.963166666666666,5811,28.166666666666668,7219,0
2025-01-13 20:21:07,1232,42,41.03083333333333,5811,28.666666666666668,7219,0
2025-01-13 20:21:08,1232,45,41.05166666666667,5851,28.166666666666668,7219,0
2025-01-13 20:21:09,1271,65,41.02033333333333,5851,29.666666666666668,7219,0
2025-01-13 20:21:10,1232,50,40.9735,5811,28.666666666666668,7220,0
2025-01-13 20:21:11,1232,64,41.07783333333333,5811,29.166666666666668,7220,0
2025-01-13 20:21:12,1232,65,41.00483333333335,5811,29.83333333333333,7220,0
2025-01-13 20:21:13,1232,46,40.98916666666667,5811,29.0,7220,0
2025-01-13 20:21:14,1232,48,41.057,5811,28.5,7220,0
2025-01-13 20:21:15,1232,48,41.09316666666667,5811,28.5,7220,0
2025-01-13 20:21:16,1271,57,41.12966666666667,5851,23.5,7220,0
2025-01-13 20:21:17,1232,52,41.00466666666667,5811,26.666666666666668,7220,0
2025-01-13 20:21:18,1232,48,40.989,5811,27.33333333333333,7220,0
2025-01-13 20:21:19,1271,62,41.135,5891,30.166666666666668,7220,0
2025-01-13 20:21:20,1232,62,40.95283333333333,5811,29.83333333333333,7220,0
2025-01-13 20:21:21,1232,67,41.00466666666667,5811,27.666666666666668,7220,0
2025-01-13 20:21:22,1232,43,41.03633333333334,5811,29.33333333333333,7220,0
