timestamp,jetson_vdd_cpu_gpu_cv_mw,jetson_gpu_usage_percent,jetson_board_temperature_celsius,jetson_vdd_in_mw,jetson_cpu_usage_percent,jetson_ram_usage_mb
2025-01-13 20:20:21,3988,0,39.5558,4931,13.0,54905
2025-01-13 20:20:22,3988,0,39.5872,4931,13.375,54905
2025-01-13 20:20:23,3988,0,39.537200000000006,4931,13.125,54905
2025-01-13 20:20:24,3988,0,39.5434,4931,12.875,54905
2025-01-13 20:20:25,3988,0,39.5184,4931,13.5,54905
2025-01-13 20:20:26,3988,0,39.5308,5032,12.875,54905
2025-01-13 20:20:27,3988,0,39.5996,4931,13.5,54905
2025-01-13 20:20:28,3988,0,39.561800000000005,4931,13.375,54905
2025-01-13 20:20:29,3988,0,39.6874,4931,13.625,54905
2025-01-13 20:20:30,3988,0,39.5372,4931,13.25,54905
2025-01-13 20:20:31,3988,0,39.4808,4931,13.25,54903
2025-01-13 20:20:32,3988,0,39.4872,4931,13.125,54904
2025-01-13 20:20:33,3988,0,39.5684,4931,13.125,54904
2025-01-13 20:20:34,3988,0,39.506,4931,13.625,54904
2025-01-13 20:20:35,3988,0,39.5994,4931,13.125,54904
2025-01-13 20:20:36,3988,0,39.5058,4931,12.75,54905
2025-01-13 20:20:37,3988,0,39.5246,4931,13.5,54905
2025-01-13 20:20:38,3988,0,39.48720000000001,4931,12.875,54906
2025-01-13 20:20:39,3988,0,39.5434,4931,13.5,54906
2025-01-13 20:20:40,3988,0,39.5996,5032,13.125,54906
2025-01-13 20:20:41,3988,0,39.5746,5032,13.375,54906
2025-01-13 20:20:42,3988,0,39.6246,5032,13.25,54907
2025-01-13 20:20:43,3988,0,39.5244,4931,13.125,54908
2025-01-13 20:20:44,3988,0,39.662400000000005,4931,13.25,54909
2025-01-13 20:20:45,3988,0,39.5244,4931,13.0,54910
2025-01-13 20:20:46,3988,0,39.549400000000006,4931,13.75,54911
2025-01-13 20:20:47,3988,0,39.562,5032,12.875,54911
2025-01-13 20:20:48,3988,0,39.6244,5032,13.625,54911
2025-01-13 20:20:49,3988,0,39.612,4931,13.0,54911
2025-01-13 20:20:50,3988,0,39.5746,4931,13.125,54910
2025-01-13 20:20:51,3988,0,39.48100000000001,4931,12.875,54911
2025-01-13 20:20:52,3988,0,39.5684,5032,13.375,54922
2025-01-13 20:20:53,3988,0,39.60600000000001,5032,13.375,54923
2025-01-13 20:20:54,3988,0,39.5872,5032,13.25,54923
2025-01-13 20:20:55,3988,0,39.6494,5032,13.0,54922
2025-01-13 20:20:56,3988,0,39.5746,5032,13.375,54923
2025-01-13 20:20:57,3988,0,39.668400000000005,5032,13.25,54923
2025-01-13 20:20:58,3988,0,39.5932,5032,13.25,54923
2025-01-13 20:20:59,3988,0,39.537,5032,13.0,54923
2025-01-13 20:21:00,3988,0,39.5434,5032,13.0,54923
2025-01-13 20:21:01,4785,0,39.581,5132,15.375,54923
2025-01-13 20:21:02,3988,0,39.6934,5032,13.75,54924
2025-01-13 20:21:03,3988,0,39.6246,4830,13.125,55177
2025-01-13 20:21:04,3988,0,39.6622,4730,13.5,55308
2025-01-13 20:21:05,3190,0,39.5496,4428,9.0,54544
2025-01-13 20:21:06,3589,0,39.5498,4428,13.25,54698
2025-01-13 20:21:07,3589,0,39.6998,4428,13.125,54803
2025-01-13 20:21:08,3988,0,39.562,4226,13.125,54804
2025-01-13 20:21:09,3988,0,39.549800000000005,4528,13.25,54894
2025-01-13 20:21:10,3988,0,39.5934,4931,13.875,54910
2025-01-13 20:21:11,3988,0,39.5622,4931,13.25,54910
2025-01-13 20:21:12,3988,0,39.6244,4931,13.625,54910
2025-01-13 20:21:13,3989,0,39.537,4931,13.25,54910
2025-01-13 20:21:14,3989,0,39.562,4931,13.125,54910
2025-01-13 20:21:15,3988,0,39.587,4931,13.125,54910
2025-01-13 20:21:16,3988,0,39.6872,4931,13.0,54910
2025-01-13 20:21:17,3988,0,39.5434,4931,13.25,54910
2025-01-13 20:21:18,3988,0,39.5746,4931,13.25,54910
2025-01-13 20:21:19,3988,0,39.5996,4931,13.625,54911
2025-01-13 20:21:20,3988,0,39.531,4931,13.25,54911
2025-01-13 20:21:21,3988,0,39.73100000000001,4931,13.25,54911
2025-01-13 20:21:22,3988,0,39.512,4931,13.625,54911
2025-01-13 20:21:23,3988,0,39.5498,4931,14.0,54911
2025-01-13 20:21:24,3988,0,39.7186,4931,13.375,54911
2025-01-13 20:21:25,3988,0,39.5934,5032,13.375,54912
2025-01-13 20:21:26,3988,0,39.6122,5032,13.125,54912
2025-01-13 20:21:27,3989,0,39.6184,5032,13.375,54912
2025-01-13 20:21:28,3989,0,39.662,4931,13.375,54912
2025-01-13 20:21:29,3989,0,39.637,4931,13.625,54912
2025-01-13 20:21:30,3989,0,39.606,4931,13.125,54912
2025-01-13 20:21:31,3988,0,39.5558,5032,13.375,54912
2025-01-13 20:21:32,3988,0,39.6434,4931,13.625,54912
2025-01-13 20:21:33,3989,0,39.58720000000001,5032,13.375,54913
2025-01-13 20:21:34,3989,0,39.58720000000001,5032,13.375,54913
2025-01-13 20:21:35,3988,0,39.6622,5032,13.25,54913
2025-01-13 20:21:36,3988,0,39.556,5032,13.25,54913
2025-01-13 20:21:37,3989,0,39.5434,5032,13.5,54913
2025-01-13 20:21:38,3988,0,39.5744,4931,13.25,54914
2025-01-13 20:21:39,3988,0,39.63719999999999,4931,13.0,54914
2025-01-13 20:21:40,3988,0,39.6246,5032,13.5,54915
2025-01-13 20:21:41,3988,0,39.5932,5032,13.75,54915
2025-01-13 20:21:42,3988,0,39.6062,5032,13.25,54915
2025-01-13 20:21:43,3988,0,39.612,5032,13.875,54915
2025-01-13 20:21:44,3988,0,39.7808,5032,13.375,54916
2025-01-13 20:21:45,3988,0,39.6306,5032,13.375,54917
2025-01-13 20:21:46,3988,0,39.5496,5032,13.0,54917
2025-01-13 20:21:47,3988,0,39.587,5032,13.5,54917
2025-01-13 20:21:48,3988,0,39.5994,5032,13.375,54918
2025-01-13 20:21:49,3988,0,39.7124,4931,13.25,54918
2025-01-13 20:21:50,3988,0,39.6872,5032,13.5,54929
2025-01-13 20:21:51,3988,0,39.5744,5032,13.375,54930
2025-01-13 20:21:52,3988,0,39.6372,5032,13.25,54931
2025-01-13 20:21:53,3988,0,39.662,5032,13.125,54931
2025-01-13 20:21:54,3988,0,39.712,5032,13.75,54931
2025-01-13 20:21:55,3988,0,39.6122,5032,13.25,54932
2025-01-13 20:21:56,3988,0,39.587,5032,13.375,54933
2025-01-13 20:21:57,3988,0,39.6434,5032,13.625,54933
2025-01-13 20:21:58,3988,0,39.6936,5032,13.25,54933
2025-01-13 20:21:59,3988,0,39.7122,5132,13.25,54934
2025-01-13 20:22:00,3988,0,39.5872,5132,13.875,54935
2025-01-13 20:22:01,5583,0,39.6558,4830,14.75,55092
2025-01-13 20:22:02,4387,0,39.674800000000005,4730,14.375,55285
2025-01-13 20:22:03,3589,0,39.556,4428,11.125,54504
2025-01-13 20:22:04,3989,0,39.6936,4528,14.0,54676
2025-01-13 20:22:05,3589,0,39.5184,4528,13.25,54802
2025-01-13 20:22:06,3988,0,39.5744,4226,12.875,54803
2025-01-13 20:22:07,3589,0,39.612,4528,13.375,54816
2025-01-13 20:22:08,3988,0,39.5872,4931,13.125,54909
2025-01-13 20:22:09,3988,0,39.6496,4931,13.125,54909
2025-01-13 20:22:10,3988,0,39.562,4931,12.875,54909
2025-01-13 20:22:11,3988,0,39.5624,4931,13.875,54909
2025-01-13 20:22:12,3988,0,39.555600000000005,4931,13.75,54910
2025-01-13 20:22:13,3988,0,39.5748,4931,13.125,54910
