timestamp,jetson_emc_freq,jetson_gpu_freq,jetson_total_cpu_usage,jetson_ram_usage,jetson_temperature,jetson_swap_usage
10/23/2024 0:37,0,0,3.583333333,7657,40.156,0
10/23/2024 0:37,0,0,3.916666667,7648,39.75,0
10/23/2024 0:37,0,0,3.583333333,7651,39.843,0
10/23/2024 0:38,0,0,4.5,7650,40.156,0
10/23/2024 0:38,0,0,3.666666667,7635,40.031,0
10/23/2024 0:38,0,0,3.916666667,7651,39.718,0
10/23/2024 0:38,0,0,3.666666667,7618,39.75,0
10/23/2024 0:39,0,0,4.083333333,7640,40.093,0
10/23/2024 0:39,0,0,3.333333333,7637,39.812,0
10/23/2024 0:39,0,0,3.333333333,7635,39.843,0
10/23/2024 0:39,0,0,2.916666667,7642,39.843,0
10/23/2024 0:40,0,0,3.666666667,7637,39.843,0
10/23/2024 0:40,0,0,3.333333333,7636,39.687,0
10/23/2024 0:40,0,0,3.833333333,7638,40.031,0
10/23/2024 0:40,0,0,3.166666667,7621,39.625,0
10/23/2024 0:41,0,0,4.416666667,7624,39.75,0
10/23/2024 0:41,0,0,3.833333333,7640,39.937,0
10/23/2024 0:41,0,0,3.333333333,7630,39.843,0
10/23/2024 0:41,0,0,3.916666667,7612,39.843,0
10/23/2024 0:42,0,0,3.916666667,7607,39.937,0
10/23/2024 0:42,0,0,3.666666667,7633,39.968,0
10/23/2024 0:42,0,0,3.666666667,7634,40.093,0
10/23/2024 0:42,0,0,3.25,7613,39.875,0
10/23/2024 0:43,0,0,3.583333333,7614,40.375,0
10/23/2024 0:43,0,0,4.166666667,7600,39.843,0
10/23/2024 0:43,0,0,3.583333333,7602,40,0
10/23/2024 0:43,0,0,3.666666667,7600,39.75,0
10/23/2024 0:44,0,0,3.583333333,7629,39.937,0
10/23/2024 0:44,0,0,3.75,7623,39.687,0
10/23/2024 0:44,0,0,3.25,7628,39.875,0
10/23/2024 0:44,0,0,3.083333333,7627,39.75,0
10/23/2024 0:45,0,0,3.5,7651,39.687,0
10/23/2024 0:45,0,0,3.333333333,7651,39.75,0
10/23/2024 0:45,0,0,2.833333333,7653,39.937,0
10/23/2024 0:45,0,0,3.416666667,7659,39.625,0
10/23/2024 0:46,0,0,3.583333333,7653,39.75,0
10/23/2024 0:46,0,0,3.25,7655,40.031,0
10/23/2024 0:46,0,0,3.416666667,7652,39.75,0
10/23/2024 0:46,0,0,3.333333333,7659,39.687,0
10/23/2024 0:47,0,0,3.416666667,7647,39.843,0
10/23/2024 0:47,0,0,3.833333333,7641,40.062,0
10/23/2024 0:47,0,0,3.416666667,7661,39.75,0
10/23/2024 0:47,0,0,3.5,7656,39.937,0
10/23/2024 0:48,0,0,3.583333333,7663,39.906,0
10/23/2024 0:48,0,0,3.333333333,7662,39.687,0
10/23/2024 0:48,0,0,4.166666667,7653,39.875,0
10/23/2024 0:48,0,0,3.666666667,7660,39.718,0
10/23/2024 0:49,0,0,3.5,7669,40.281,0
10/23/2024 0:49,0,0,4.333333333,7657,39.718,0
10/23/2024 0:49,0,0,3.75,7648,39.781,0
10/23/2024 0:49,0,0,3.083333333,7657,39.937,0
10/23/2024 0:50,0,0,4,7641,39.937,0
10/23/2024 0:50,0,0,3.333333333,7656,39.781,0
10/23/2024 0:50,0,0,4.083333333,7660,39.875,0
10/23/2024 0:50,0,0,3.166666667,7654,39.843,0
10/23/2024 0:51,0,0,3.333333333,7657,39.906,0
10/23/2024 0:51,0,0,3.083333333,7654,40.031,0
10/23/2024 0:51,0,0,3,7651,39.937,0
10/23/2024 0:51,0,0,2.416666667,7655,39.937,0
10/23/2024 0:52,0,0,3.75,7650,39.718,0
10/23/2024 0:52,0,0,2.916666667,7622,39.812,0
10/23/2024 0:52,0,0,3.333333333,7653,39.781,0
10/23/2024 0:52,0,0,3.416666667,7646,40.125,0
10/23/2024 0:53,0,0,2.833333333,7651,39.75,0
10/23/2024 0:53,0,0,3,7647,40.031,0
